Mesonotum  transscutal carina,absent,present,,,,,,
Mesonotum  size of dorsal axillar surface,"large, mesoscutellar sulcus U- or V-shaped","small, mesoscutellar sulcus straight medially",,,,,,
Mesonotum  axillar carina,absent,longitudinal_carina_extending_dorsally_from_scutellar_arm_present,,,,,,
Mesonotum  lateral corners of axilla,"rounded, no distinct projection dorsally",axillar_carina_with_distinct_posterior_projection_dorsally,,,,,,
Mesonotum  axillar phragma,absent,present,,,,,,
Mesonotum  scutoscutellar sulcus,different_configuration_than_state_1,consisting_of_one_or_two_wide_depressions_with_small_pits_laterally,,,,,,
Mesonotum  mesoscutellar carina,absent_or_weakly_developed_medially,"present, distinct throughout",,,,,,
Mesonotum  configuration of mesoscutellar carina,reaching transscutal carina/articulation medially,not reaching transscutal carina/articulation,,,,,,
Mesonotum  internal median longitudinal mesoscutellar carina,absent,present,,,,,,
Mesonotum  internal septum,absent,septum_with_small_fenestrum_spanning_at_least_part_of_mesoscutellum_ventrally,,,,,,
Mesonotum  longitudinal subdivision of scutellum,not_subdivided,subdivided_by_submedian_longitudinal_grooves,,,,,,
Mesonotum  frenum,mesoscutellum_not_subdivided,"mesoscutellum transversely subdivided by line, fold, or carina",,,,,,
Mesonotum  mesoscutellum posteriorly,not_as_state_1,medially_with_row_of_sculptured_depressions,,,,,,
Mesonotum  mesoscutellar appendage,absent_or_weakly_developed,projection_separated_from_scutellum_by_distinct_line_present,,,,,,
Mesonotum  mesoscutellar arm configuration,"narrow, erect, slender","broad, low, smooth",,,,,,
Mesonotum  origin of mesoscutellar arms,at_posterolateral_corners_of_mesoscutellum,anterolaterally_on_mesoscutellum,,,,,,
Mesonotum  mesoscutellar arm distally,not_extending,distinctly_extended_laterally,,,,,,
Mesophragma  pseudophragmal lobe s ,absent_or_weakly_developed,"well developed, distinct lobes",,,,,,
Mesophragma  anterior margin position,at_most_displaced_slightly_posterior_to_posterior_margin_of_mesoscutellum,displaced_posteriorly_into_propodeum_for_at_least_the_length_of_the_mesoscutellum,,,,,,
Mesophragma  mesophragmal pockets,"weakly developed, no curved line anterodorsally on mesophragma","well developed, with deeply curved posterior margin",,,,,,
Mesophragma  median longitudinal carina,absent_or_weakly_developed,distinct_carina_extending_ventrally_for_most_of_phragma,,,,,,
Mesophragma  mesolaterophragmal lobes,reduced_or_absent,"present, well developed",,,,,,
Mesophragma  number of mesolaterophragmal lobes,one,two,,,,,,
Mesophragma  mesolaterophragmal apodeme shape,"short, rounded","elongate, slender",,,,,,
Mesophragma  mesopostnotum,exposed,concealed_by_anterior_part_of_metanotum,,,,,,
Mesophragma  lateral attachment of mesopostnotum,"broad, exposed","invaginated, but still developed","reduced, mesopostnotum entirely internal",,,,,
Mesophragma  lateral flanges,absent,distinct_flanges_present_anteromedially,,,,,,
Mesopectus  configuration with mesonotum,"not broadly abutting, tegulum and pronotum adjacent","abutting for considerable distance, tegulum well separated from pronotum",,,,,,
Mesopectus  tegula configuration,exposed,concealed_by_dorsolateral_corner_of_pronotum,,,,,,
Mesopleuron  external part of basalar,not_enlarged,"conspicuously enlarged, extending ventrally of anterior spiracle",,,,,,
Mesopleuron  basalar apodeme,"large, cup-shaped","reduced, tendon-like",,,,,,
Mesopleuron  postspiracular sclerite,absent,present,,,,,,
Mesopleuron  posterior thoracic spiracle configuration,"exposed, in concavity in mesopleural margin","exposed, above mesopleural margin",not_visible_externally,,,,,
Mesopleuron  supramesopleural sclerite,absent,sclerite_between_mesopleuron_and_metapleural_arm_present,,,,,,
Mesopleuron  mesepimeral ridge,absent_or_weakly_developed,distinct_ridge_extending_from_dorsal_margin_of_mesopleuron_to_approx._halfway_to_mesocoxal_articulation,distinct_ridge_extending_from_dorsal_margin_of_mesopleuron_to_mesocoxal_articulation,,,,,
Mesopectus  mesopleural ridge,absent,ridge_extending_between_anterior_margin_of_mesopleuron_and_mesocoxal_articulation,,,,,,
Mesopleuron  mesopleural pit,absent,small_pit_present,,,,,,
Mesopleuron  mesopleural apodeme,absent_or_weakly_developed,apodeme_present,,,,,,
Mesopleuron  apodeme configuration,separate_from_mesepimeral_ridge,continuous_with_mesepimeral_ridge,,,,,,
Mesopectus  mesopleural triangle,at_most_slight_depression_present_dorsally_on_mesopleuron,distinct_triangular_depression_extending_across_dorsal_mesopleuron,,,,,,
Mesoplueron  prospinasternum,separate_sclerite,fused with mesopleuron and/or pronotum,,,,,,
Mesopleuron  prospinasternal apodeme,absent,"present, well developed",,,,,,
Mesopleuron  acetabular epicnemial carina,absent_or_weakly_defined,"distinct, extends below procoxae",,,,,,
Mesopleuron  procoxal concavities,absent_or_weakly_developed,concavities_accommodating_procoxae_present,,,,,,
Mesopleuron  subpleural signum,absent,longitudinal_line_or_crease_present,,,,,,
Mesopectus  pseudosternal sulci,absent_or_not_developed_internally,well_developed_internally_and_externally,,,,,,
Mesopectus  sternaular carina,absent_or_weakly_developed,oblique_internal_carina_on_mesepisternum_present,,,,,,
Mesopleuron  posterior transverse carina,absent,"present, delimiting concave or smooth area just anteriorly of mesocoxal foramina",,,,,,
Mesopleuron  mesocoxal foramina,"widely open dorsally, not surrounded by mesopleural cuticle","foramen constricted, but still with narrow opening dorsally","closed dorsally, surrounded by continuous mesopleural cuticle",,,,,
Mesopleuron  median mesocoxal articulation,absent,"present, on projection",,,,,,
Mesopleuron  medial mesocoxal articulation position,"situated proximally, articulations not elongated","situated distally, on medial surface of mesocoxa",,,,,,
mesofurca  mesofurcal pit,situated_at_level_with_mesocoxal_foramina,situated_anteriorly_of_mesocoxal_foramina,,,,,,
Mesofurca  mesospina and metafurco mesospinal muscle,absent,"present, short, erect","elongate, projecting posteriorly between metafurcal arms",,,,,
Mesofurca  arms proximally,with_at_most_shallow_depressions,with_distinct_concavities_dorsally,,,,,,
Mesofurca  anterior arm,"short, inconspicuous",elongate,,,,,,
Mesofurca  bridge  R99  54 ,absent,present,,,,,,
Mesofurca  anterior projection on bridge,absent,present,,,,,,
Mesofurca  lateral arm,"short, not extending towards mesopleuron","elongate, extending towards mesopleuron",,,,,,
Midleg  mesocoxa,not_subdivided,subdivided,,,,,,
Midleg  proximal part of mesocoxa,well_developed,very_reduced,,,,,,
Midleg  coxo trochanter articulation,"broad, trochanter cylindrical proximally","narrow, trochanter with flattened disk proximally",,,,,,
Midleg  trochantellus,absent,"femur subdivided proximally, forming small trochantellus",,,,,,
Metanotum,"reduced, antecostal sulcus adjacent to mesoscutellum","well developed, antecostal sulcus well separated from mesoscutellum",,,,,,
Metanotum  orientation,"more or less horisontal, angled less than 90o relative to mesoscutellum","vertical, angled 90o relative to mesoscutellum",,,,,,
Metanotum  cenchri,absent,present,,,,,,
Metanotum hindwing tegula,absent,present,,,,,,
Metanotum  humeral sclerite,"absent, anterior metanotal wing process continuous with remainder of metanotum",anterior_metanotal_wing_process_situated_on_separate_sclerite,,,,,,
Metanotum  metascutellum,absent_or_reduced,"present, well developed",,,,,,
Metanotum  metascutellum configuration,"reaching anterior margin of metanotum, abutting mesoscutellum",not_reaching_anterior_margin_of_metanotum,,,,,,
Metanotum  incurvation posterad metascutellum,at_most_weakly_developed,"present, distinct",,,,,,
Metanotum  lateral longitudinal carina,"absent or reduced, not traversing metanotum","well developed, traversing entire metanotum",,,,,,
Metanotum  lateral incision,absent,anterolateral_membraneous_area_present,,,,,,
Metapleuron  apodemal part of metabasalare,absent_or_reduced,"present, independent cup-shaped sclerite","present, continuous with metapleuron",,,,,
Metapleuron  metapleural arm   T1 association,not_abutting_T1,abutting_T1,fused_with_T1,,,,,
Metaplueron  metaplural arm configuration,continuous_with_rest_of_metapleuron,separated_from_rest_of_metapleuron_by_anterolateral_part_of_T1,,,,,,
Metapleuron  metapisternal anapleural cleft,absent,present,,,,,,
Metapleuron  metepimeron   T1 association,at_most_fused_for_short_distance,broadly_fused,,,,,,
Metapluron  metepimeron,well_developed_throughout,reduced_posteriorly,,,,,,
Metapleuron  articular inflection,absent,present,,,,,,
Metapleuron  dorsal longitudinal ridge,absent,distinct_ridge_ventral_to_propodeal_spiracle_present,,,,,,
Metapleuron  metapleural pit,entirely_absent,at_least_shallow_depression_present,,,,,,
Metapleuron  metapleural apodeme,absent_or_weakly_developed,"present, well developed",,,,,,
Metapleuron  mesopleural metapleural association,"might articulate or abut ventrally, but not fused",fused_ventrally,fused_ventrally_and_laterally,,,,,
Metapleuron  paracoxal notches,absent,present,,,,,,
Metapleuron  median longitudinal carina projection,absent,"present, separating metepisternal depressions",depressions_separated_by_broad_swelling,,,,,
Metapleuron  lateral longitudinal carina,absent,low_carina_laterally_of__metepisternal_depressions_present,projections_at_anterolateral_corners_of_metepisternal_depressions_present,,,,,
Metapleuron  ventral transverse carina,absent_or_weakly_developed,transverse_carina_anterior_to_metacoxal_foramina_present,,,,,,
Metapleuron  area anterior to paracoxal ridge sulcus,reduced_medially,well_developed,,,,,,
Metapleuron  anterior paracoxal sulci ridges,absent,present,,,,,,
Metapleuron  posterior paracoxal ridge,absent,present,,,,,,
Metapleuron  anterior paracoxal ridge,not_reaching_metapleural_apodemes,extending_to_metapleural_apodemes,"continuous with marginal metapleural apodeme, separate from metapleural apodeme",,,,,
Metapleuron  metapectal plates,absent,low_lobe_present_laterally_on_anterior_paracoxal_ridge,,,,,,
Metapluron  metacoxal foramina,well_separated_from_mesocoxal_foramina,"adjacent to mesocoxal foramina, ventral metepisternum reduced",,,,,,
Metapleuron  median coxal articulation,"reduced, at most developed as low  swelling",articulation_point_well_developed,,,,,,
Metapleuron  median coxal articulation position,"ventromedial to lateral articulation, axis of movement oblique","approx. ventral to lateral articulation, axis of movement vertical",,,,,,
Metapleuron  lateral coxal articulation,"exposed, visible laterally",concealed_in_lateral_view,,,,,,
Metapleuron  articulation notch,absent_or_weakly_developed,notch_in_foraminal_rim_at_metacoxal_lateral_articulation_well_developed,,,,,,
Metafurca  metafurcal pit position,closer_to_metacoxal_foramina_than_to_anterior_margin_of_metapectus,closer_to_anterior_margin_of_metapectus_than_to_metacoxal_foramina,,,,,,
Metafurca  number of metafurcal pits,one,two,,,,,,
Metafurca  position,metafurcal_arms_arise_posteriorly_on_metadiscrimen,metafurcal_arms_arise_at_or_close_to_anterior_end_of_metadiscrimen,,,,,,
Metafurca  furca discrimen configuration,"adjacent, arise from discrimen","widely separate, not converging, detached from discrimen",,,,,,
Metafurca  connection to mesofurca,separate_from_mesofurca,fused_with_mesofurca_for_some_distance,,,,,,
Metafurca  anterior metafurcal arm,"elongate, at most slightly shorter than lateral arm","reduced, considerably shorter than lateral arm",,,,,,
Metafurca  lateral metafurcal arm,short,"elongate, extending towards metapleural apodeme",fused_with_metapleural_apodeme,,,,,
Hind leg  trochantins,absent,present,,,,,,
Hind leg  size of coxa,"short, less than 3/4 length of hindfemur+trochanter","elongate, more than 3/4 length of hindfemur+trochanter",,,,,,
Hind leg  femoral spines,absent_or_weakly_developed,at_least_one_distinct_spine_present_ventrally,,,,,,
Hind leg  tibial preapical spurs,absent,present,,,,,,
Hind leg  tibial brush,absent,dense_brush_of_setae_present_on_at_least_part_of_median_side,,,,,,
Hind leg  tarsal plantulae,absent,present,,,,,,
Propodeum T1 medially,divided,continuous,,,,,,
Propodeum  metapostnotum association,"separated by unsclerotised line, connection movable",immovably_fused,,,,,,
Propodeum  median antecostal projections,absent,one_projection_present_anteriorly_and_posteriorly_of_antecosta_,several_projections_present_anteriorly_and_posteriorly_of_antecosta_,,,,,
Propodeum  lateral antecostal projections,absent,present_anteriorly_and_posteriorly_of_antecosta,,,,,,
Propodeum  metaphragma,absent,present_only_laterally,"present, continuous medially",,,,,
Propodeum  metalaterophragmal lobes,weakly_developed_or_absent,well_developed,,,,,,
Propodeum  metaphragma metapleural apodeme configuration,separate,metaphragma_and_metapleural_apodeme_fused,,,,,,
Propodeum  metapostnotum,continuous_medially,subdivided_medially,,,,,,
Propodeum  median projection,absent,distinct_projection_present_medially,,,,,,
Propodeum  median longitudinal carina,absent,"present, well developed",,,,,,
Propodeum  lateral longitudinal carina,absent,distinct_ridge_dorsal_to_propodeal_spiracle_present,,,,,,
Propodeum  propodeal spiracle configuration,"elongate, slit-like",rounded,,,,,,
Propodeum  propodeal spiracle laterally,exposed,covered_by_flap,,,,,,
Propodeum  spiracle position  horizontal ,not_further_than_halfway_between_antecosta_and_T1_posterior_margin,closer_to_T1_posterior_margin_than_to_antecosta,,,,,,
Propodeum  spiracle position  vertical ,not adjacent to propodeal-metapleuron boundary,abutting_boundary,,,,,,
Propodeum  transverse carina,absent,distinct_carina_present_some_distance_from_propodeal_foramen,,,,,,
Propodeum  propodeal foramen,"not developed, T2 broadly attached to T1",T1_articulating_with_T2_but_not_constricted_laterally,"T1 posteriorly constricted laterally, articulating with T2",,,,,
Propodeum  propodeal foramen configuration,continuous_with_metacoxal_foramina,separated_from_metacoxal_foramina_by_sclerotised_bridges,,,,,,
Propodeum  position of propodeal foramen,situated_posteriorly_of_anterior_margin_of_metacoxal_foramen,situated_at_level_with_metacoxal_foramen,"dorsally, at least halfway between metacoxal foramina and metapostnotum","adjacent to antecostal sulcus, compressing sulcus medially",,,,
Propodeum  propodeal foramen ventrally,straight,distinctly_incurved,,,,,,
Propodeum  propodeal foramen shelf,absent,distinct_shelf_extending_ventrally_into_body_cavity_from_foramen,,,,,,
Propodeum  articulating teeth,absent_or_weakly_developed,distinct_teeth_present,,,,,,
First abdominal sternum,absent or reduced,present,,,,,,
Petiole  T2 and S2 configuration,separate,"fused, at least anteriorly",,,,,,
Petiole  posteriorly,wider_than_anterior_foramen,"narrow, approx. same width as anterior foramen",,,,,,
Petiole  articulating condyle,"reduced or absent, petiolar foramen subcircular","well developed, T-shaped in anterior view",,,,,,
Petiole  anterior width,"not broad, condyle occupying at least 1/2 of anterior width","broad, condyle less than 1/3 of anterior width",,,,,,
Petiole  transverse carina on T2,absent,"present, situated just posteriorly of articulation",,,,,,
Petiole  T2 longitudinal internal carina,absent,"carina present posteriorly, externally indicated by furrow",,,,,,
Petiole  S2,at_least_partly_sclerotised,membraneous_medioventrally,,,,,,
Petiole  S2 posteriorly,equally_sclerotised_or_membraneous_throughout,less_heavily_sclerotised_posteriorly_for_at_least_half_the_length_of_T2,,,,,,
Petiole  transverse carina anteriorly,absent,transverse_carina_posteriorly_of_sensillar_patches_present,,,,,,
Petiole  longitudinal carina anteriorly on S2,absent,present_posteriorly_of_anterior_margin,,,,,,
Muscles  median pronoto prophragmal muscle,absent,present,,,,,,
Muscles  site of origin of the dorsal pronoto procoxal muscle,from_along_the_dorsal_margin_of_the_pronotum,distinctly_ventrally_of_the_dorsal_margin_of_the_pronotum,from_the_ventral_surface_of_the_anterior_thoracic_spiracle_occlusor_muscle_apodeme,,,,,
Muscles  ventral pronoto procoxal muscle,absent,present,,,,,,
Muscles  pronoto mesobasalar muscle,absent,present,,,,,,
Muscles  pronoto profurcal muscle,absent,present,,,,,,
Muscles  pronoto third axillary sclerite of forewing muscle,absent,present,,,,,,
Prepectus  anterior spiracle occlusor muscle,arise_from_free_prepectus,arise_from_mesopleuron,arise_from_pronotum,,,,,
Muscles  site of pronotal origin of the anterior thoracic spiracle occlusor muscle,originates_at_least_partly_from_the_occlusor_muscle_apodeme,originates_from_the_wall_of_the_pronotum,,,,,,
Muscles  lateral metapleuro postoccipital muscle,absent,present,,,,,,
Muscles  propleural arm postoccipital muscle,absent,present,,,,,,
Muscles  propleural arm protrochanteral muscle,absent,present,,,,,,
Muscles  mesofurco propleural arm muscle,absent,present,,,,,,
Muscles  profurco prophragmal muscle,absent,present,,,,,,
Muscles  origin of median profurco procoxal muscle,from_the_posteroventral_part_of_the_profurca,from_the_ventral_part_of_the_propleural_arm,,,,,,
Muscles  profurco protrochanteral muscle,absent,present,,,,,,
Muscles  prospinasterno profurcal muscle,absent,present,,,,,,
Muscles  dorsal mesofurco profurcal muscle,absent,present,,,,,,
Muscles  prospinasterno procoxal muscle origin,from_independent_prospinasternum,from_anterior_mesopleural_margin,from_ventral_pronotal_sclerotisation,from_independent_prepectus,,,,
