"","ID","names","N_chars"
"131","HAO:0001111","mesotrochanteral muscle","5"
"132","HAO:0001713","metacoxal muscle","5"
"133","HAO:0001784","mesobasalar muscle","5"
"134","HAO:0000051","abdominal tergum 1","4"
"135","HAO:0000096","annulus","4"
"136","HAO:0000102","antenna cleaner","4"
"137","HAO:0000155","axilla","4"
"138","HAO:0000178","basitarsus","4"
"139","HAO:0000228","coxa","4"
"140","HAO:0000300","epipharyngeal wall","4"
"141","HAO:0000366","furcal pit","4"
"142","HAO:0000399","hind leg","4"
"143","HAO:0000515","maxillary palp","4"
"144","HAO:0000582","anterior thoracic spiracle","4"
"145","HAO:0000679","ovipositor","4"
"146","HAO:0000809","preoral cavity","4"
"147","HAO:0000825","profurca","4"
"148","HAO:0000855","prophragma","4"
"149","HAO:0000865","propodeal foramen","4"
"150","HAO:0000875","protibial spur","4"
"151","HAO:0000991","tarsomere","4"
"152","HAO:0001106","probasitarsus","4"
"153","HAO:0001113","procoxal muscle","4"
"154","HAO:0001125","protarsus","4"
"155","HAO:0001218","subforaminal bridge","4"
"156","HAO:0001264","metacoxal foramen","4"
"157","HAO:0001351","mesotibia","4"
"158","HAO:0001424","abdominal spiracle","4"
"159","HAO:0001714","metafurcal muscle","4"
"160","HAO:0001718","metanotal muscle","4"
"161","HAO:0001994","propodeum","4"
"162","HAO:0000022","abdominal segment 3","3"
"163","HAO:0000171","basalare","3"
"164","HAO:0000225","costa","3"
"165","HAO:0000285","edge","3"
"166","HAO:0000329","first abdominal spiracle","3"
"167","HAO:0000418","inflection","3"
"168","HAO:0000558","mesophragma","3"
"169","HAO:0000606","metaphragma","3"
"170","HAO:0000607","metapleural apodeme","3"
"171","HAO:0000616","metapleuro-metabasalar muscle","3"
"172","HAO:0000625","metascutellum","3"
"173","HAO:0000686","paraglossa","3"
"174","HAO:0000720","pleural apodeme","3"
"175","HAO:0000903","row of setae","3"
"176","HAO:0000912","scrobe","3"
"177","HAO:0000938","signum","3"
"178","HAO:0001003","tentorium","3"
"179","HAO:0001022","torulus","3"
"180","HAO:0001099","head muscle","3"
"181","HAO:0001105","profurcal muscle","3"
"182","HAO:0001118","abdominal muscle","3"
"183","HAO:0001353","mesopostnotal apodeme","3"
"184","HAO:0001522","retinaculum","3"
"185","HAO:0001785","mesocoxal foramen","3"
"186","HAO:0001788","mesolaterophragma","3"
"187","HAO:0001903","mesoscutellar arm","3"
"188","HAO:0000023","abdominal segment 4","2"
"189","HAO:0000025","abdominal segment 5","2"
"190","HAO:0000053","abdominal tergum 2","2"
"191","HAO:0000056","abdominal tergum 3","2"
"192","HAO:0000192","cervical apodeme","2"
"193","HAO:0000237","cubital vein","2"
"194","HAO:0000252","dorsal axillar area","2"
"195","HAO:0000299","epimeron","2"
"196","HAO:0000301","epipharynx","2"
"197","HAO:0000327","femur","2"
"198","HAO:0000368","galea","2"
"199","HAO:0000475","lateral mesofurcal arm","2"
"200","HAO:0000478","lateral metapleuro-metacoxal muscle","2"
"201","HAO:0000502","lower face","2"
"202","HAO:0000521","median mesofurco-mesotrochanteral muscle","2"
"203","HAO:0000537","mesepimeral ridge","2"
"204","HAO:0000548","mesofurcal bridge","2"
"205","HAO:0000573","mesoscutello-metanotal muscle","2"
"206","HAO:0000593","metafurcal arm","2"
"207","HAO:0000594","metafurcal pit","2"
"208","HAO:0000608","metapleural arm","2"
"209","HAO:0000617","metapleuro-metanotal muscle","2"
"210","HAO:0000631","metatibia","2"
"211","HAO:0000632","metepimeron","2"
"212","HAO:0000635","mid coxa","2"
"213","HAO:0000647","notaulus","2"
"214","HAO:0000653","occipital carina","2"
"215","HAO:0000846","pronoto-anterior thoracic spiracle muscle","2"
"216","HAO:0000848","pronoto-procoxal muscle","2"
"217","HAO:0000856","propleural arm","2"
"218","HAO:0000939","sitophore","2"
"219","HAO:0000967","subcosta","2"
"220","HAO:0000993","tegula","2"
"221","HAO:0000998","tentorial bridge","2"
"222","HAO:0001019","tooth","2"
"223","HAO:0001053","velum","2"
"224","HAO:0001056","ventral carina of the metapleuron","2"
"225","HAO:0001080","vertical lobe of mesoscutum","2"
"226","HAO:0001090","wing base","2"
"227","HAO:0001091","wing cell","2"
"228","HAO:0001093","wing membrane","2"
"229","HAO:0001109","postoccipital muscle","2"
"230","HAO:0001115","anterior thoracic spiracle occlusor muscle","2"
"231","HAO:0001120","mesotibial spur","2"
"232","HAO:0001359","mesopleural apodeme","2"
"233","HAO:0001373","median metapleuro-metanotal muscle","2"
"234","HAO:0001383","medial mesopecto-mesocoxal articulation","2"
"235","HAO:0001385","medial coxal condyle of the metapectus","2"
"236","HAO:0001388","medial coxal articular process of the metapectus","2"
"237","HAO:0001414","lateral coxal condyle of the metapleuron","2"
"238","HAO:0001416","lateral coxal articular process of the metapleuron","2"
"239","HAO:0001489","anteroventral mesoscutal inflection","2"
"240","HAO:0001686","row of spurs","2"
"241","HAO:0001692","protrochanteral muscle","2"
"242","HAO:0001699","prophragmal muscle","2"
"243","HAO:0001724","metatrochanteral muscle","2"
"244","HAO:0001734","peduncle","2"
"245","HAO:0001786","mesocoxal muscle","2"
"246","HAO:0001789","mesolaterophragmal muscle","2"
"247","HAO:0001828","mesosubalare muscle","2"
"248","HAO:0001877","metapostnotum","2"
"249","HAO:0001894","mesonoto-mesotrochanteral muscle","2"
"250","HAO:0001914","lateral coxal condyle of the pleuron","2"
"251","HAO:0001917","coxal condyle of the pectus","2"
"252","HAO:0001918","medial coxal condyle of the pectus","2"
"253","HAO:0001977","costal margin","2"
"254","HAO:0002069","mesotibial outer spur","2"
"255","HAO:0002112","third sclerite of the maxillary palp","2"
"256","HAO:0002181","second valvifer-third valvula complex","2"
"257","HAO:0002183","sclerite of the maxillary palp","2"
"258","HAO:0002206","distal glossal edge","2"
"259","HAO:0002500","prothoracic katepisternum","2"
"260","HAO:0002502","transscutal ridge","2"
"261","HAO:0000026","abdominal segment 6","1"
"262","HAO:0000031","abdominal segment 7","1"
"263","HAO:0000033","abdominal segment 8","1"
"264","HAO:0000037","abdominal sternum 4","1"
"265","HAO:0000038","abdominal sternum 5","1"
"266","HAO:0000057","abdominal tergum 4","1"
"267","HAO:0000058","abdominal tergum 5","1"
"268","HAO:0000076","abscissa","1"
"269","HAO:0000093","anal vein","1"
"270","HAO:0000105","antennal shelf","1"
"271","HAO:0000108","posterior cranio-mandibular muscle","1"
"272","HAO:0000121","anterior process of the mesofurcal bridge","1"
"273","HAO:0000123","anterior process of the prosternum","1"
"274","HAO:0000124","anterior profurcal lamella","1"
"275","HAO:0000128","anteroadmedian line","1"
"276","HAO:0000131","anteromedian pronotal ridge","1"
"277","HAO:0000156","axillar carina","1"
"278","HAO:0000170","basal vein","1"
"279","HAO:0000175","basicoxite","1"
"280","HAO:0000176","basisternum","1"
"281","HAO:0000177","basitarsal notch","1"
"282","HAO:0000189","cenchrus","1"
"283","HAO:0000212","clypeus","1"
"284","HAO:0000223","corner","1"
"285","HAO:0000226","costal cell","1"
"286","HAO:0000243","dilator muscle apodeme","1"
"287","HAO:0000244","discrimen","1"
"288","HAO:0000245","discrimenal lamella","1"
"289","HAO:0000255","dorsal mesofurco-profurcal muscle","1"
"290","HAO:0000258","dorsal mesopostnotal flange","1"
"291","HAO:0000270","dorsal propleural area","1"
"292","HAO:0000275","dorsal tentorial arm","1"
"293","HAO:0000292","epicnemial carina","1"
"294","HAO:0000294","epicnemium","1"
"295","HAO:0000295","epicoxal lobe","1"
"296","HAO:0000296","epicoxal sulcus","1"
"297","HAO:0000303","episternum","1"
"298","HAO:0000339","first valvula","1"
"299","HAO:0000347","occipital foramen","1"
"300","HAO:0000353","fossa","1"
"301","HAO:0000355","frenum","1"
"302","HAO:0000378","glymma","1"
"303","HAO:0000404","humeral sclerite of the metanotum","1"
"304","HAO:0000417","impression","1"
"305","HAO:0000419","inner orbit","1"
"306","HAO:0000435","intersegmental membrane-mesobasalar muscle","1"
"307","HAO:0000450","labial palp","1"
"308","HAO:0000457","lacinial lobe","1"
"309","HAO:0000476","lateral mesofurco-mesotrochanteral muscle","1"
"310","HAO:0000493","laterotergite","1"
"311","HAO:0000497","longitudinal carina of the propleuron","1"
"312","HAO:0000508","mandibular condyle","1"
"313","HAO:0000519","medial vein","1"
"314","HAO:0000523","median mesoscutal sulcus","1"
"315","HAO:0000528","median profurco-procoxal muscle","1"
"316","HAO:0000529","median propodeal carina","1"
"317","HAO:0000541","mesepisternum","1"
"318","HAO:0000542","mesobasalare","1"
"319","HAO:0000544","mesocoxo-mesosubalar muscle","1"
"320","HAO:0000549","mesofurcal pit","1"
"321","HAO:0000552","mesofurco-metabasalar muscle","1"
"322","HAO:0000560","mesopleural epicoxal sulcus","1"
"323","HAO:0000562","mesopleural triangle","1"
"324","HAO:0000564","mesopleuro-mesocoxal muscle","1"
"325","HAO:0000565","mesopleuro-third axillary sclerite of hind wing muscle","1"
"326","HAO:0000568","mesopostscutellum","1"
"327","HAO:0000577","mesospinasterno-metafurcal muscle","1"
"328","HAO:0000579","mesosterno-procoxal muscle","1"
"329","HAO:0000586","metabasalare","1"
"330","HAO:0000587","metacoxa","1"
"331","HAO:0000589","metacoxo-metasubalar muscle","1"
"332","HAO:0000590","metadiscrimen","1"
"333","HAO:0000591","metadiscrimenal lamella","1"
"334","HAO:0000602","metanoto-metatrochanteral muscle","1"
"335","HAO:0000609","metapleural carina","1"
"336","HAO:0000612","metapleural pit","1"
"337","HAO:0000619","metapleuro-metatrochanteral muscle","1"
"338","HAO:0000624","metascutellar carina","1"
"339","HAO:0000626","metasoma","1"
"340","HAO:0000656","occipital sulcus","1"
"341","HAO:0000658","occiput","1"
"342","HAO:0000670","oral foramen","1"
"343","HAO:0000672","orbit","1"
"344","HAO:0000680","ovipositor sheath","1"
"345","HAO:0000694","parapsidal line","1"
"346","HAO:0000697","parascutal carina","1"
"347","HAO:0000717","pile","1"
"348","HAO:0000723","pleural pit","1"
"349","HAO:0000724","pleural ridge","1"
"350","HAO:0000753","posterior mesofurco-mesolaterophragmal muscle","1"
"351","HAO:0000754","posterior mesonoto-mesotrochanteral muscle","1"
"352","HAO:0000755","posterior mesopleuro-mesofurcal muscle","1"
"353","HAO:0000757","posterior mesoscutellar sulcus","1"
"354","HAO:0000761","posterior pronotal inflection","1"
"355","HAO:0000768","posterior tentorial pit","1"
"356","HAO:0000769","posterior thoracic spiracle","1"
"357","HAO:0000770","posterodorsal edge of pronotum","1"
"358","HAO:0000783","postmarginal vein","1"
"359","HAO:0000785","postmentum","1"
"360","HAO:0000790","postocciput","1"
"361","HAO:0000794","postpectal carina","1"
"362","HAO:0000827","profurcal pit","1"
"363","HAO:0000836","pronotal lobe","1"
"364","HAO:0000840","pronotal shoulder","1"
"365","HAO:0000845","pronoto-mesobasalar muscle","1"
"366","HAO:0000849","pronoto-profurcal muscle","1"
"367","HAO:0000859","propleuro-postoccipital muscle","1"
"368","HAO:0000864","propodeal carina","1"
"369","HAO:0000866","propodeal tooth","1"
"370","HAO:0000871","prosternal incision","1"
"371","HAO:0000881","pseudophragma","1"
"372","HAO:0000888","radial vein","1"
"373","HAO:0000890","radio-medial cross vein","1"
"374","HAO:0000893","region","1"
"375","HAO:0000900","rim","1"
"376","HAO:0000911","scrobal depression","1"
"377","HAO:0000918","scutoscutellar ridge","1"
"378","HAO:0000919","scutoscutellar sulcus","1"
"379","HAO:0000924","second mesopleuro-mesonotal muscle","1"
"380","HAO:0000927","second valvifer","1"
"381","HAO:0000936","setiferous patch","1"
"382","HAO:0000948","spinasternum","1"
"383","HAO:0000949","spine","1"
"384","HAO:0000953","sternaulus","1"
"385","HAO:0000957","stigma","1"
"386","HAO:0000958","stipes","1"
"387","HAO:0000965","subantennal groove","1"
"388","HAO:0000975","subpleural signum","1"
"389","HAO:0000990","tarsal plantula","1"
"390","HAO:0000996","tendon","1"
"391","HAO:0000997","tentorial arm","1"
"392","HAO:0000999","tentorial pit","1"
"393","HAO:0001012","third valvula","1"
"394","HAO:0001027","transscutal fissure","1"
"395","HAO:0001029","transverse carina on petiole","1"
"396","HAO:0001031","transverse pronotal carina","1"
"397","HAO:0001033","trochantellus","1"
"398","HAO:0001035","trochantin","1"
"399","HAO:0001055","ventral bridge of the pronotum","1"
"400","HAO:0001121","metatibial spur","1"
"401","HAO:0001122","procoxa","1"
"402","HAO:0001131","mesofemur","1"
"403","HAO:0001140","metafemur","1"
"404","HAO:0001169","anterior mesonoto-metanotal muscle","1"
"405","HAO:0001180","basitarsal comb","1"
"406","HAO:0001204","transscutal articulation","1"
"407","HAO:0001249","propodeum","1"
"408","HAO:0001256","mesotrochanteral apodeme","1"
"409","HAO:0001284","cranial condyle of the propleuron","1"
"410","HAO:0001285","occlusor muscle apodeme of the mesothoracic spiracle","1"
"411","HAO:0001302","posterior mesonoto-metanotal muscle","1"
"412","HAO:0001304","propodeal muscle","1"
"413","HAO:0001305","propleural arm-protrochanteral muscle","1"
"414","HAO:0001306","pronoto-third axillary sclerite of fore wing muscle","1"
"415","HAO:0001309","profurco-protrochanteral muscle","1"
"416","HAO:0001315","procoxal foramen","1"
"417","HAO:0001344","posterior metapleuro-metabasalar muscle","1"
"418","HAO:0001357","mesopleural ridge","1"
"419","HAO:0001358","mesopleural pit","1"
"420","HAO:0001368","mesobasicoxite","1"
"421","HAO:0001378","median longitudinal metepisternal carina","1"
"422","HAO:0001395","line of separation","1"
"423","HAO:0001397","lateral propleuro-postoccipital muscle","1"
"424","HAO:0001406","lateral metapleuro-metabasalar muscle","1"
"425","HAO:0001418","3rd abdominal spiracle","1"
"426","HAO:0001419","5th abdominal spiracle","1"
"427","HAO:0001420","6th abdominal spiracle","1"
"428","HAO:0001421","7th abdominal spiracle","1"
"429","HAO:0001422","8th abdominal spiracle","1"
"430","HAO:0001426","abdominal tergum","1"
"431","HAO:0001432","antennal scrobe","1"
"432","HAO:0001439","anterior mesofurcal arm","1"
"433","HAO:0001440","anterior mesonoto-mesotrochanteral muscle","1"
"434","HAO:0001445","anterior metapleuro-metabasalar muscle","1"
"435","HAO:0001454","anterior tentorial arm","1"
"436","HAO:0001456","abdominal laterotergite 3","1"
"437","HAO:0001481","axillar phragma","1"
"438","HAO:0001534","fore wing blade","1"
"439","HAO:0001536","4th abdominal spiracle","1"
"440","HAO:0001538","2nd abdominal spiracle","1"
"441","HAO:0001544","median pronoto-prophragmal muscle","1"
"442","HAO:0001550","labral apodeme","1"
"443","HAO:0001563","infrabuccal pouch","1"
"444","HAO:0001565","hypopharyngeal lobe","1"
"445","HAO:0001566","hind wing third axillary muscle","1"
"446","HAO:0001575","distal hypopharynx","1"
"447","HAO:0001578","dorsal pronoto-procoxal muscle","1"
"448","HAO:0001581","metacoxo-metabasalar muscle","1"
"449","HAO:0001582","mesocoxo-mesobasalar muscle","1"
"450","HAO:0001600","ovipositor apparatus","1"
"451","HAO:0001615","ventral pronoto-procoxal muscle","1"
"452","HAO:0001619","valvillus","1"
"453","HAO:0001629","mesotrochantero-mesobasalar muscle","1"
"454","HAO:0001630","torma","1"
"455","HAO:0001641","anterior metanoto-metacoxal muscle","1"
"456","HAO:0001642","metanoto-metabasalar muscle","1"
"457","HAO:0001643","mesonoto-mesolaterophragmal muscle","1"
"458","HAO:0001644","mesonoto-mesocoxal muscle","1"
"459","HAO:0001645","mesonoto-mesobasalar muscle","1"
"460","HAO:0001652","submedian carina of propodeum","1"
"461","HAO:0001664","prospinasterno-profurcal muscle","1"
"462","HAO:0001675","second abdominal sternal muscle","1"
"463","HAO:0001684","metasterno-second abdominal sternal muscle","1"
"464","HAO:0001685","second sterno-metacoxal muscle","1"
"465","HAO:0001694","prospinasternum","1"
"466","HAO:0001697","propleural muscle","1"
"467","HAO:0001698","mesofurco-propleural arm muscle","1"
"468","HAO:0001707","mesopleuro-anterior thoracic spiracle muscle","1"
"469","HAO:0001715","metalaterophragma","1"
"470","HAO:0001716","metalaterophragmal muscle","1"
"471","HAO:0001723","metasubalare muscle","1"
"472","HAO:0001725","metatrochantin","1"
"473","HAO:0001738","metalaterophragmo-metafurcal muscle","1"
"474","HAO:0001743","mesopleuro-mesosubalar muscle","1"
"475","HAO:0001744","anterior metapleuro-metafurcal muscle","1"
"476","HAO:0001745","posterior metapleuro-metafurcal muscle","1"
"477","HAO:0001748","fore wing third axillary muscle","1"
"478","HAO:0001765","epipharyngeal brush","1"
"479","HAO:0001774","profurco-prophragmal muscle","1"
"480","HAO:0001779","mandibular muscle","1"
"481","HAO:0001787","mesofurcal muscle","1"
"482","HAO:0001790","mesonotal muscle","1"
"483","HAO:0001794","metapleuro-propodeal muscle","1"
"484","HAO:0001801","prepecto-anterior thoracic spiracle muscle","1"
"485","HAO:0001806","propleural arm-postoccipital muscle","1"
"486","HAO:0001808","pouch","1"
"487","HAO:0001819","posterior metanoto-metacoxal muscle","1"
"488","HAO:0001852","submedian pronotal apodeme","1"
"489","HAO:0001858","mesotrochantellus","1"
"490","HAO:0001866","palpomere","1"
"491","HAO:0001878","median longitudinal carina of first metasomal sternum","1"
"492","HAO:0001882","transverse carina on S2","1"
"493","HAO:0001906","profurcal bridge","1"
"494","HAO:0001921","Metanoto-propodeo-metapecto-mesopectal complex","1"
"495","HAO:0001930","transverse propodeal carina","1"
"496","HAO:0001942","calyptra","1"
"497","HAO:0002158","first valvifer-first valvula complex","1"
"498","HAO:0002209","apical glossal hairs","1"
"499","HAO:0002210","apical glossal setae","1"
"500","HAO:0002212","campaniform sensillum of the glossa","1"
"501","HAO:0002214","hypopharyngeal pecten","1"
"502","HAO:0002232","paraglossal acroglossal button","1"
"503","HAO:0002246","labial palpomere","1"
"504","HAO:0002250","metapleural sulcus","1"
"505","HAO:0002265","petiolar scrobe","1"
"506","HAO:0002272","median anatomical line","1"
"507","HAO:0002284","propodeo-second abdominal segment muscle","1"
"508","HAO:0002287","pronotal fovea","1"
"509","HAO:0002397","anteromedian projection of the metanoto-propodeo-metapecto-mesopectal complex","1"
"510","HAO:0002478","metanoto-metalaterophragmal muscle","1"
"511","HAO:0002479","corpotendon","1"
"512","HAO:0002480","mola","1"
"513","HAO:0002481","mandibular rod","1"
"514","HAO:0002482","apical peg","1"
"515","HAO:0002483","hind wing tegula","1"
"516","HAO:0002484","lateral incision of metanoum","1"
"517","HAO:0002485","cup-shaped apodeme of metabasalare","1"
"518","HAO:0002486","articular inflection","1"
"519","HAO:0002487","posterior paracoxal ridge","1"
"520","HAO:0002488","metapectal plate","1"
"521","HAO:0002489","articular notch","1"
"522","HAO:0002490","anterior metafurcal arm","1"
"523","HAO:0002491","sturdy spines of the hind femur","1"
"524","HAO:0002492","preapical tibial spurs","1"
"525","HAO:0002493","median antecostal projection","1"
"526","HAO:0002494","lateral antecostal projection","1"
"527","HAO:0002495","metalaterophragmal lobe","1"
"528","HAO:0002496","T2 longitudinal internal ridge","1"
"529","HAO:0002497","abdominal segment 2-abdominal segment 1 articulation","1"
"530","HAO:0002498","furcula","1"
"531","HAO:0002499","meconium","1"
"532","HAO:0002501","laterosternal sclerite","1"
"533","HAO:0002503","internal median longitudinal scutoscutellar ridge","1"
"534","HAO:0002504","internal septum","1"
"535","HAO:0002505","basalar apodeme","1"
"536","HAO:0002506","supramesopleural sclerite","1"
"537","HAO:0002507","prospinasternal apodeme","1"
"538","HAO:0002508","mesospinasternal apodeme","1"
"539","HAO:0002509","metepisternal anapleural cleft","1"
"540","HAO:0002510","paracoxal notch","1"
"541","HAO:0002511","nygma","1"
"542","HAO:0000001","ventral mesofurco-profurcal muscle","0"
"543","HAO:0000002","A1 flap","0"
"544","HAO:0000004","portion of organism substance","0"
"545","HAO:0000008","anatomical line","0"
"546","HAO:0000009","anatomical point","0"
"547","HAO:0000010","anatomical surface","0"
"548","HAO:0000013","cell","0"
"549","HAO:0000014","cell component","0"
"550","HAO:0000018","abdominal segment 10","0"
"551","HAO:0000019","compound organ component","0"
"552","HAO:0000021","simple organ","0"
"553","HAO:0000024","compound organ","0"
"554","HAO:0000027","male organism","0"
"555","HAO:0000028","female organism","0"
"556","HAO:0000029","hermaphroditic organism","0"
"557","HAO:0000030","asexual organism","0"
"558","HAO:0000034","abdominal segment 9","0"
"559","HAO:0000036","abdominal sternum 3","0"
"560","HAO:0000039","abdominal sternum 6","0"
"561","HAO:0000042","extraembryonic structure","0"
"562","HAO:0000044","abdominal sternum 7","0"
"563","HAO:0000045","sequential hermaphroditic organism","0"
"564","HAO:0000046","synchronous hermaphroditic organism","0"
"565","HAO:0000047","abdominal sternum 9","0"
"566","HAO:0000048","gonochoristic organism","0"
"567","HAO:0000049","protandrous hermaphroditic organism","0"
"568","HAO:0000050","protogynous hermaphroditic organism","0"
"569","HAO:0000052","abdominal tergum 10","0"
"570","HAO:0000055","multi-tissue structure","0"
"571","HAO:0000059","abdominal tergum 6","0"
"572","HAO:0000060","abdominal tergum 7","0"
"573","HAO:0000061","abdominal tergum 8","0"
"574","HAO:0000062","cell space","0"
"575","HAO:0000063","portion of cell substance","0"
"576","HAO:0000064","single cell organism","0"
"577","HAO:0000065","basal lamina","0"
"578","HAO:0000066","epithelium","0"
"579","HAO:0000067","simple cuboidal epithelium","0"
"580","HAO:0000068","simple columnar epithelium","0"
"581","HAO:0000069","multilaminar epithelium","0"
"582","HAO:0000070","simple squamous epithelium","0"
"583","HAO:0000071","atypical epithelium","0"
"584","HAO:0000072","cavitated compound organ","0"
"585","HAO:0000073","unilaminar epithelium","0"
"586","HAO:0000074","solid compound organ","0"
"587","HAO:0000075","T9","0"
"588","HAO:0000077","epithelial cell","0"
"589","HAO:0000078","accessory gland","0"
"590","HAO:0000079","accessory ventral condyle","0"
"591","HAO:0000080","acetabular carina","0"
"592","HAO:0000081","acetabular groove","0"
"593","HAO:0000082","acetabulum","0"
"594","HAO:0000083","acropleural apodeme","0"
"595","HAO:0000084","acropleural sulcus","0"
"596","HAO:0000085","acrosternite","0"
"597","HAO:0000086","aculea","0"
"598","HAO:0000087","adult","0"
"599","HAO:0000088","adult abdomen","0"
"600","HAO:0000089","adult tagma","0"
"601","HAO:0000090","adult thorax","0"
"602","HAO:0000091","aedeagus","0"
"603","HAO:0000094","anepisternum","0"
"604","HAO:0000095","annellus","0"
"605","HAO:0000097","anteclypeus","0"
"606","HAO:0000099","antecostal sulcus","0"
"607","HAO:0000100","antemedian mesonotal wing process","0"
"608","HAO:0000101","antenna","0"
"609","HAO:0000103","antennal rim","0"
"610","HAO:0000104","antennal segment","0"
"611","HAO:0000106","antennal suture","0"
"612","HAO:0000107","antennomere","0"
"613","HAO:0000109","frontal carina","0"
"614","HAO:0000110","anterior extension of mesofurca","0"
"615","HAO:0000111","anterior extension of the preaxilla","0"
"616","HAO:0000112","anterior glossal sclerite","0"
