id,statemet,Istvan’s_annot,compar_results,suggested_annot
CHAR:27,Distal epipharyngeal wall,HAO:0000300-(epipharyngeal wall),original is subset,HAO:0000300-(epipharyngeal wall); HAO:0001739-(pharyngeal wall)
CHAR:28,Lateral epipharyngeal brush,HAO:0000301-(epipharynx),none,HAO:0001765-(epipharyngeal brush)
CHAR:29,Epipharyngeal lobe,HAO:0000301-(epipharynx),identical,HAO:0000301-(epipharynx)
CHAR:30,Epipharyngeal setae,HAO:0001765-(epipharyngeal brush),none,HAO:0000935-(seta); HAO:0002299-(sensillum trichodeum)
CHAR:31,Tormae,HAO:0001630-(torma),identical,HAO:0001630-(torma)
CHAR:32,Sclerotization of labrum,HAO:0000456-(labrum),original is subset,HAO:0000456-(labrum); HAO:0002325-(maximum cephalic length); HAO:0002331-(maximum cephalic length in median line)
CHAR:33,Thickness of labrum,HAO:0000456-(labrum),identical,HAO:0000456-(labrum)
CHAR:34,Labral setation,HAO:0000456-(labrum),none,HAO:0000455-(labral seta); HAO:0000935-(seta)
CHAR:35,Labral apodemes,HAO:0001550-(labral apodeme),original is subset,HAO:0000142-(apodeme); HAO:0001550-(labral apodeme)
CHAR:36,Sitophore,HAO:0000939-(sitophore),identical,HAO:0000939-(sitophore)
CHAR:37,Sitophore sensillae,HAO:0000939-(sitophore),identical,HAO:0000939-(sitophore)
CHAR:38,Hypopharyngeal lobe,HAO:0001565-(hypopharyngeal lobe),identical,HAO:0001565-(hypopharyngeal lobe)
CHAR:39,Infrabuccal pouch,HAO:0001563-(infrabuccal pouch),identical,HAO:0001563-(infrabuccal pouch)
CHAR:40,Hypopharyngeal pectens,HAO:0002214-(hypopharyngeal pecten),original is subset,HAO:0002214-(hypopharyngeal pecten); HAO:0001180-(basitarsal comb)
CHAR:41,Left mandible dentition,HAO:0001019-(tooth),original is finer,HAO:0000506-(mandible)
CHAR:42,Dentition of right mandible relative to left,HAO:0001019-(tooth),original is finer,HAO:0000506-(mandible); HAO:0002326-(maximum diameter of the compound eye)
CHAR:43,Mola on right mandible,HAO:0002480-(mola),identical,HAO:0002480-(mola)
CHAR:44,Mandibular peg on ventral margin,HAO:0000506-(mandible),none,HAO:0000510-(margin); HAO:0001981-(margin)
CHAR:45,Mandibular rods glands,HAO:0002481-(mandibular rod),original is subset,HAO:0000375-(gland); HAO:0002481-(mandibular rod)
CHAR:46,Lateral articulation of mandible,HAO:0000508-(mandibular condyle),original is finer,HAO:0000151-(articulation); HAO:0000506-(mandible); HAO:0001485-(articular surface)
CHAR:47,Lateral mandibular muscle attachment,HAO:0000108-(posterior cranio-mandibular muscle),original is finer,HAO:0001779-(mandibular muscle); HAO:0000516-(medial 9th sterno-cupulal muscle); HAO:0002114-(first intrinsic muscle of the maxillary palp); HAO:0002325-(maximum cephalic length); HAO:0002331-(maximum cephalic length in median line)
CHAR:48,Shape of glossa  alaglossa ,HAO:0000376-(glossa),identical,HAO:0000376-(glossa)
CHAR:49,Setation of glossa,HAO:0000376-(glossa),original is subset,HAO:0000376-(glossa); HAO:0000935-(seta); HAO:0002299-(sensillum trichodeum)
CHAR:50,Glossal fringe,HAO:0002210-(apical glossal setae),original is finer,HAO:0000376-(glossa)
CHAR:51,Submarginal setae of glassa,HAO:0002209-(apical glossal hairs),original is finer,HAO:0000510-(margin); HAO:0000935-(seta); HAO:0001981-(margin); HAO:0000511-(marginal cilia); HAO:0002299-(sensillum trichodeum)
CHAR:52,Campaniform sensillae,HAO:0002212-(campaniform sensillum of the glossa),none,)
CHAR:53,Acroglossal button,HAO:0002232-(paraglossal acroglossal button),none,HAO:0000376-(glossa)
CHAR:54,Glossal margin,HAO:0002206-(distal glossal edge),original is finer,HAO:0000376-(glossa); HAO:0000510-(margin); HAO:0001981-(margin)
CHAR:55,Paraglossae,HAO:0000686-(paraglossa),original is subset,HAO:0000376-(glossa); HAO:0000686-(paraglossa)
CHAR:56,Paraglossal basal setation,HAO:0000686-(paraglossa),original is subset,HAO:0000376-(glossa); HAO:0000686-(paraglossa); HAO:0000935-(seta); HAO:0002299-(sensillum trichodeum)
CHAR:57,Number of labial palp segments,HAO:0002246-(labial palpomere),original is finer,HAO:0000450-(labial palp); HAO:0000929-(segment)
CHAR:58,Rod like sensilla,HAO:0002482-(apical peg),none,)
CHAR:59,Subapical sensilla,HAO:0000933-(sensillum); HAO:0001866-(palpomere),none,)
CHAR:60,Postmentum,HAO:0000785-(postmentum),original is subset,HAO:0000534-(mentum); HAO:0000785-(postmentum); HAO:0000804-(prementum); HAO:0002149-(postarticular portion of the postmentum)
CHAR:61,Number of maxillary palp segments,HAO:0002183-(sclerite of the maxillary palp),original is finer,HAO:0000155-(axilla); HAO:0000515-(maxillary palp)
CHAR:62,Maxillary palp shape,HAO:0002183-(sclerite of the maxillary palp),original is finer,HAO:0000155-(axilla); HAO:0000515-(maxillary palp)
CHAR:63,Sensillum on third maxillary palpomere,HAO:0002112-(third sclerite of the maxillary palp); HAO:0000933-(sensillum),partial,HAO:0000155-(axilla); HAO:0000933-(sensillum); HAO:0001866-(palpomere); HAO:0000096-(annulus); HAO:0002183-(sclerite of the maxillary palp)
CHAR:64,Third maxillary palpomere,HAO:0002112-(third sclerite of the maxillary palp),none,HAO:0000155-(axilla); HAO:0001866-(palpomere); HAO:0000096-(annulus); HAO:0002183-(sclerite of the maxillary palp)
CHAR:65,Shape of lacinia,HAO:0000457-(lacinial lobe),original is subset,HAO:0000385-(gonossiculus); HAO:0000457-(lacinial lobe)
CHAR:66,Galea shape,HAO:0000368-(galea),identical,HAO:0000368-(galea)
CHAR:67,Galea division,HAO:0000368-(galea),identical,HAO:0000368-(galea)
CHAR:68,Stipes sensillum,HAO:0000958-(stipes); HAO:0000933-(sensillum),original is subset,HAO:0000933-(sensillum); HAO:0000958-(stipes); HAO:0000386-(gonostipes); HAO:0000389-(gonostyle)
CHAR:69,Pronotum shape anteriorly,HAO:0000853-(pronotum),original is subset,HAO:0000853-(pronotum); HAO:0001006-(tergum)
CHAR:70,Pronotum  anteroventral longitudinal carinae,HAO:0000853-(pronotum); HAO:0000188-(carina),original is subset,HAO:0000188-(carina); HAO:0000853-(pronotum); HAO:0001006-(tergum)
CHAR:71,Pronotum  submedian depressions,HAO:0002287-(pronotal fovea),original is finer,HAO:0000241-(depression); HAO:0000853-(pronotum); HAO:0000519-(medial vein); HAO:0001006-(tergum)
CHAR:72,Pronotum  length,HAO:0000853-(pronotum); HAO:0002272-(median anatomical line),partial,HAO:0000853-(pronotum); HAO:0001006-(tergum)
CHAR:73,Pronotum orientation,HAO:0000853-(pronotum),original is subset,HAO:0000853-(pronotum); HAO:0001006-(tergum)
CHAR:74,Pronotum  transverse carina,HAO:0001031-(transverse pronotal carina),original is finer,HAO:0000853-(pronotum); HAO:0001006-(tergum); HAO:0001930-(transverse propodeal carina)
CHAR:75,Pronotum  anterior surface,HAO:0000853-(pronotum),original is subset,HAO:0000853-(pronotum); HAO:0002011-(face); HAO:0000502-(lower face); HAO:0001006-(tergum); HAO:0002208-(anterior surface of the glossa)
CHAR:76,Pronotum  dorsomedially,HAO:0000131-(anteromedian pronotal ridge); HAO:0000855-(prophragma),original is finer,HAO:0000853-(pronotum); HAO:0000519-(medial vein); HAO:0001006-(tergum)
CHAR:77,Pronotum  submedian apodemes,HAO:0001852-(submedian pronotal apodeme),original is finer,HAO:0000142-(apodeme); HAO:0000853-(pronotum); HAO:0000519-(medial vein); HAO:0001006-(tergum)
CHAR:78,Pronotum  anterolateral corners,HAO:0000840-(pronotal shoulder),original is finer,HAO:0000223-(corner); HAO:0000853-(pronotum); HAO:0001006-(tergum)
CHAR:79,Pronotum  anterolateral internal carina,HAO:0000853-(pronotum); HAO:0000188-(carina),original is subset,HAO:0000188-(carina); HAO:0000853-(pronotum); HAO:0001006-(tergum)
CHAR:80,Pronotum  posterodorsal corner,HAO:0000770-(posterodorsal edge of pronotum),original is finer,HAO:0000223-(corner); HAO:0000853-(pronotum); HAO:0001006-(tergum)
CHAR:81,Pronotum  posterolateral margin,HAO:0000836-(pronotal lobe),original is finer,HAO:0000510-(margin); HAO:0000853-(pronotum); HAO:0001981-(margin); HAO:0001006-(tergum)
CHAR:82,Pronotum  anterior spiracle,HAO:0000582-(anterior thoracic spiracle),original is finer,HAO:0000853-(pronotum); HAO:0000950-(spiracle); HAO:0001006-(tergum); HAO:0002325-(maximum cephalic length); HAO:0002331-(maximum cephalic length in median line)
CHAR:83,Pronotum  mesopleural attachment,HAO:0000853-(pronotum); HAO:0000566-(mesopleuron),partial,HAO:0000853-(pronotum); HAO:0001006-(tergum); HAO:0002262-(petiole length)
CHAR:84,Pronotum  lateroventral corners,HAO:0001055-(ventral bridge of the pronotum),original is finer,HAO:0000223-(corner); HAO:0000853-(pronotum); HAO:0001006-(tergum)
CHAR:85,Prepectus,HAO:0000811-(prepectus),original is subset,HAO:0000705-(pectus); HAO:0000811-(prepectus)
CHAR:86,Prepectus,HAO:0000811-(prepectus),original is subset,HAO:0000705-(pectus); HAO:0000811-(prepectus)
CHAR:87,Prepectus  pronotal inflection,HAO:0000761-(posterior pronotal inflection),original is finer,HAO:0000418-(inflection); HAO:0000705-(pectus); HAO:0000811-(prepectus)
CHAR:88,Prepectus inflection  dorsal extent,HAO:0000811-(prepectus); HAO:0000582-(anterior thoracic spiracle),partial,HAO:0000418-(inflection); HAO:0000705-(pectus); HAO:0000811-(prepectus)
CHAR:89,Prepectus inflection  ventral configuration,HAO:0000811-(prepectus),original is subset,HAO:0000418-(inflection); HAO:0000705-(pectus); HAO:0000811-(prepectus)
CHAR:90,Position of occlusor muscle apodeme,HAO:0001285-(occlusor muscle apodeme of the mesothoracic spiracle),original is subset,HAO:0000659-(occlusor muscle apodeme); HAO:0000516-(medial 9th sterno-cupulal muscle); HAO:0001285-(occlusor muscle apodeme of the mesothoracic spiracle); HAO:0002114-(first intrinsic muscle of the maxillary palp); HAO:0002325-(maximum cephalic length); HAO:0002331-(maximum cephalic length in median line)
CHAR:91,Position  anterior thoracic spiracle,HAO:0000582-(anterior thoracic spiracle),original is subset,HAO:0000582-(anterior thoracic spiracle); HAO:0002325-(maximum cephalic length); HAO:0002331-(maximum cephalic length in median line)
CHAR:92,Projection ventrad anterior spiracle,HAO:0000582-(anterior thoracic spiracle); HAO:0000829-(projection),partial,HAO:0000829-(projection); HAO:0000950-(spiracle); HAO:0002325-(maximum cephalic length); HAO:0002331-(maximum cephalic length in median line)
CHAR:93,Propleura  cervical prominences,HAO:0000193-(cervical prominence),original is subset,HAO:0000193-(cervical prominence); HAO:0002262-(petiole length)
CHAR:94,Propleura  position of cervical prominences,HAO:0000193-(cervical prominence),original is subset,HAO:0000193-(cervical prominence); HAO:0002262-(petiole length)
CHAR:95,Propleuron  cervical apodeme,HAO:0000192-(cervical apodeme),original is subset,HAO:0000192-(cervical apodeme); HAO:0002262-(petiole length)
CHAR:96,Propleuron  cervical apodeme configuration,HAO:0000192-(cervical apodeme),original is subset,HAO:0000192-(cervical apodeme); HAO:0002262-(petiole length)
CHAR:97,Propleuron  cervical lines,HAO:0001284-(cranial condyle of the propleuron),original is finer,HAO:0000862-(propleuron); HAO:0001586-(line); HAO:0002262-(petiole length)
CHAR:98,Propleura  dorsal part,HAO:0000270-(dorsal propleural area),none,HAO:0002262-(petiole length)
CHAR:99,Dorsal margins of propleura,HAO:0000862-(propleuron),none,HAO:0000510-(margin); HAO:0001981-(margin); HAO:0002262-(petiole length)
CHAR:100,Propleuron  propleural arm,HAO:0000856-(propleural arm),original is subset,HAO:0000856-(propleural arm); HAO:0002262-(petiole length)
CHAR:101,Configuration of propleural arms,HAO:0000856-(propleural arm); HAO:0000825-(profurca),partial,HAO:0000856-(propleural arm); HAO:0002262-(petiole length)
CHAR:102,Propleura  lateroventral carina,HAO:0000497-(longitudinal carina of the propleuron),original is finer,HAO:0000188-(carina); HAO:0002262-(petiole length)
CHAR:103,Propleura  median margins,HAO:0000862-(propleuron); HAO:0000873-(prosternum),none,HAO:0000510-(margin); HAO:0001981-(margin); HAO:0000519-(medial vein); HAO:0002262-(petiole length)
CHAR:104,Propleura  epicoxal lobes,HAO:0000295-(epicoxal lobe),original is subset,HAO:0000228-(coxa); HAO:0000295-(epicoxal lobe); HAO:0001587-(lobe); HAO:0002262-(petiole length)
CHAR:105,Propleura  posterolateral groove,HAO:0000862-(propleuron); HAO:0000853-(pronotum),none,HAO:0000417-(impression); HAO:0002262-(petiole length)
CHAR:106,Propleura  prothoracic katepisterna,HAO:0002500-(prothoracic katepisternum),none,HAO:0002262-(petiole length)
CHAR:107,Propleuron  katepisternum configuration,HAO:0002500-(prothoracic katepisternum),none,HAO:0000303-(episternum); HAO:0000862-(propleuron); HAO:0000955-(sternite); HAO:0002262-(petiole length)
CHAR:108,Prosternum  anteroventral part,HAO:0000873-(prosternum); HAO:0000862-(propleuron),partial,HAO:0000873-(prosternum); HAO:0000955-(sternite)
CHAR:109,Prosternal spine,HAO:0000123-(anterior process of the prosternum),original is subset,HAO:0000949-(spine); HAO:0000123-(anterior process of the prosternum)
CHAR:110,Prosternum  laterosternal sclerites,HAO:0002501-(laterosternal sclerite),original is subset,HAO:0000873-(prosternum); HAO:0002501-(laterosternal sclerite); HAO:0000955-(sternite); HAO:0002325-(maximum cephalic length); HAO:0002331-(maximum cephalic length in median line)
CHAR:111,Prosternum  subdivision,HAO:0000871-(prosternal incision),original is finer,HAO:0000873-(prosternum); HAO:0000955-(sternite)
CHAR:112,Profurca  number of profurcal pits,HAO:0000827-(profurcal pit),original is subset,HAO:0000364-(furca); HAO:0000825-(profurca); HAO:0000827-(profurcal pit); HAO:0000241-(depression)
CHAR:113,Profurca  anterior apodemes,HAO:0000124-(anterior profurcal lamella),original is finer,HAO:0000364-(furca); HAO:0000825-(profurca)
CHAR:114,Profurca  bridge,HAO:0001906-(profurcal bridge),original is finer,HAO:0000364-(furca); HAO:0000825-(profurca); HAO:0000899-(ridge); HAO:0000188-(carina)
CHAR:115,Profurca  articulation with propleuron,HAO:0000825-(profurca); HAO:0000862-(propleuron),original is subset,HAO:0000151-(articulation); HAO:0000364-(furca); HAO:0000825-(profurca); HAO:0000862-(propleuron); HAO:0001485-(articular surface); HAO:0002262-(petiole length)
CHAR:116,Foreleg  procoxa,HAO:0001315-(procoxal foramen),none,HAO:0001122-(procoxa); HAO:0002326-(maximum diameter of the compound eye)
CHAR:117,Foreleg  procoxal transverse carina,HAO:0000188-(carina); HAO:0001122-(procoxa),partial,HAO:0001122-(procoxa); HAO:0001930-(transverse propodeal carina); HAO:0002326-(maximum diameter of the compound eye)
CHAR:118,Foreleg  protibial furrow,HAO:0000978-(sulcus); HAO:0000350-(fore tibia),original is subset,HAO:0000901-(row); HAO:0000350-(fore tibia); HAO:0000978-(sulcus); HAO:0002326-(maximum diameter of the compound eye)
CHAR:119,Foreleg  calcar,HAO:0000875-(protibial spur),original is subset,HAO:0000185-(calcar); HAO:0000875-(protibial spur); HAO:0002326-(maximum diameter of the compound eye)
CHAR:120,Foreleg  posterior apical protibial spur,HAO:0000875-(protibial spur),original is subset,HAO:0000875-(protibial spur); HAO:0002326-(maximum diameter of the compound eye)
CHAR:121,Foreleg  probasitarsal notches,HAO:0000177-(basitarsal notch),original is subset,HAO:0000177-(basitarsal notch); HAO:0002326-(maximum diameter of the compound eye)
CHAR:122,Foreleg  probasitarsal combs,HAO:0001180-(basitarsal comb),original is subset,HAO:0001180-(basitarsal comb); HAO:0002326-(maximum diameter of the compound eye)
CHAR:123,Foreleg  probasitarsal spur,HAO:0001106-(probasitarsus); HAO:0000951-(spur),partial,HAO:0000494-(leg); HAO:0000951-(spur); HAO:0002326-(maximum diameter of the compound eye)
CHAR:124,Mesonotum  prophragma,HAO:0000855-(prophragma),original is subset,HAO:0000650-(notum); HAO:0000855-(prophragma); HAO:0001006-(tergum)
CHAR:125,Mesonotum  prophragma shape,HAO:0000855-(prophragma),original is subset,HAO:0000650-(notum); HAO:0000855-(prophragma); HAO:0001006-(tergum)
CHAR:126,Mesonotum  prophragma laterally,HAO:0000855-(prophragma),original is subset,HAO:0000650-(notum); HAO:0000855-(prophragma); HAO:0001006-(tergum)
CHAR:127,Mesonotum  anterior mesoscutal sulcus,HAO:0001080-(vertical lobe of mesoscutum),original is finer,HAO:0000556-(mesonotum); HAO:0000650-(notum); HAO:0000978-(sulcus); HAO:0001006-(tergum)
CHAR:128,Mesonotum  anterior mesoscutal sulcus configuration,HAO:0001080-(vertical lobe of mesoscutum),original is finer,HAO:0000556-(mesonotum); HAO:0000650-(notum); HAO:0000978-(sulcus); HAO:0001006-(tergum)
CHAR:129,Mesonotum  median mesoscutal sulcus and ridge,HAO:0000523-(median mesoscutal sulcus),original is subset,HAO:0000523-(median mesoscutal sulcus); HAO:0000899-(ridge); HAO:0000188-(carina); HAO:0000519-(medial vein); HAO:0001006-(tergum)
CHAR:130,Mesonotum  anteroadmedian signum,HAO:0000128-(anteroadmedian line),original is subset,HAO:0000128-(anteroadmedian line); HAO:0000519-(medial vein); HAO:0001006-(tergum)
CHAR:131,Mesonotum  notauli,HAO:0000647-(notaulus),original is subset,HAO:0000647-(notaulus); HAO:0001006-(tergum)
CHAR:132,Mesonotum  notauli configuration,HAO:0000647-(notaulus); HAO:0001027-(transscutal fissure),partial,HAO:0000647-(notaulus); HAO:0001006-(tergum)
CHAR:133,Mesonotum  parapside,HAO:0000694-(parapsidal line),none,HAO:0000466-(lateral area of the mesoscutum); HAO:0001006-(tergum)
CHAR:134,Mesonotum  parascutal carina,HAO:0000697-(parascutal carina),original is subset,HAO:0000697-(parascutal carina); HAO:0001006-(tergum)
CHAR:135,Mesonotum  transscutal articulation,HAO:0001204-(transscutal articulation),original is subset,HAO:0000151-(articulation); HAO:0000650-(notum); HAO:0001204-(transscutal articulation); HAO:0001006-(tergum); HAO:0001485-(articular surface); HAO:0001623-(transscutal impression)
CHAR:136,Mesonotum  transscutal carina,HAO:0002502-(transscutal ridge),original is finer,HAO:0000188-(carina); HAO:0000556-(mesonotum); HAO:0000650-(notum); HAO:0001006-(tergum)
CHAR:137,Mesonotum  size of dorsal axillar surface,HAO:0000252-(dorsal axillar area),original is subset,HAO:0000650-(notum); HAO:0002011-(face); HAO:0000252-(dorsal axillar area); HAO:0000502-(lower face); HAO:0001006-(tergum)
CHAR:138,Mesonotum  axillar carina,HAO:0000156-(axillar carina),original is subset,HAO:0000156-(axillar carina); HAO:0000188-(carina); HAO:0000650-(notum); HAO:0001006-(tergum)
CHAR:139,Mesonotum  lateral corners of axilla,HAO:0000155-(axilla),original is subset,HAO:0000155-(axilla); HAO:0000223-(corner); HAO:0000650-(notum); HAO:0001006-(tergum)
CHAR:140,Mesonotum  axillar phragma,HAO:0001481-(axillar phragma),original is subset,HAO:0000650-(notum); HAO:0000716-(phragma); HAO:0001481-(axillar phragma); HAO:0001006-(tergum)
CHAR:141,Mesonotum  scutoscutellar sulcus,HAO:0000919-(scutoscutellar sulcus),original is subset,HAO:0000650-(notum); HAO:0000917-(scutellar sulcus); HAO:0000919-(scutoscutellar sulcus); HAO:0002430-(scute); HAO:0001006-(tergum); HAO:0002326-(maximum diameter of the compound eye)
CHAR:142,Mesonotum  mesoscutellar carina,HAO:0000574-(mesoscutellum); HAO:0000188-(carina),partial,HAO:0000188-(carina); HAO:0000556-(mesonotum); HAO:0000650-(notum); HAO:0002430-(scute); HAO:0001006-(tergum); HAO:0002326-(maximum diameter of the compound eye)
CHAR:143,Mesonotum  configuration of mesoscutellar carina,HAO:0002502-(transscutal ridge); HAO:0000918-(scutoscutellar ridge),original is finer,HAO:0000188-(carina); HAO:0000556-(mesonotum); HAO:0000650-(notum); HAO:0002430-(scute); HAO:0001006-(tergum); HAO:0002326-(maximum diameter of the compound eye)
CHAR:144,Mesonotum  internal median longitudinal mesoscutellar carina,HAO:0002503-(internal median longitudinal scutoscutellar ridge),original is finer,HAO:0000188-(carina); HAO:0000556-(mesonotum); HAO:0000650-(notum); HAO:0002430-(scute); HAO:0000519-(medial vein); HAO:0001006-(tergum); HAO:0002326-(maximum diameter of the compound eye)
CHAR:145,Mesonotum  internal septum,HAO:0002504-(internal septum),original is subset,HAO:0000650-(notum); HAO:0002504-(internal septum); HAO:0001006-(tergum)
CHAR:146,Mesonotum  longitudinal subdivision of scutellum,HAO:0000574-(mesoscutellum),original is subset,HAO:0002430-(scute); HAO:0000574-(mesoscutellum); HAO:0001006-(tergum); HAO:0002326-(maximum diameter of the compound eye)
CHAR:147,Mesonotum  frenum,HAO:0000355-(frenum),original is subset,HAO:0000355-(frenum); HAO:0001006-(tergum)
CHAR:148,Mesonotum  mesoscutellum posteriorly,HAO:0000757-(posterior mesoscutellar sulcus),original is finer,HAO:0000574-(mesoscutellum); HAO:0002430-(scute); HAO:0001006-(tergum); HAO:0002326-(maximum diameter of the compound eye)
CHAR:149,Mesonotum  mesoscutellar appendage,HAO:0000568-(mesopostscutellum),original is subset,HAO:0000144-(appendage); HAO:0000571-(mesoscutellar appendage); HAO:0002430-(scute); HAO:0000568-(mesopostscutellum); HAO:0001006-(tergum); HAO:0002326-(maximum diameter of the compound eye)
CHAR:150,Mesonotum  mesoscutellar arm configuration,HAO:0001903-(mesoscutellar arm),original is subset,HAO:0000650-(notum); HAO:0001903-(mesoscutellar arm); HAO:0002430-(scute); HAO:0001006-(tergum); HAO:0002326-(maximum diameter of the compound eye)
CHAR:151,Mesonotum  origin of mesoscutellar arms,HAO:0001903-(mesoscutellar arm),original is subset,HAO:0000650-(notum); HAO:0001903-(mesoscutellar arm); HAO:0002430-(scute); HAO:0001006-(tergum); HAO:0002326-(maximum diameter of the compound eye)
CHAR:152,Mesonotum  mesoscutellar arm distally,HAO:0001903-(mesoscutellar arm),original is subset,HAO:0000650-(notum); HAO:0001903-(mesoscutellar arm); HAO:0002430-(scute); HAO:0001006-(tergum); HAO:0002326-(maximum diameter of the compound eye)
CHAR:153,Mesophragma  pseudophragmal lobe s ,HAO:0000881-(pseudophragma),original is subset,HAO:0000558-(mesophragma); HAO:0000881-(pseudophragma); HAO:0001587-(lobe)
CHAR:154,Mesophragma  anterior margin position,HAO:0000574-(mesoscutellum); HAO:0000558-(mesophragma),partial,HAO:0000510-(margin); HAO:0000558-(mesophragma); HAO:0001981-(margin)
CHAR:155,Mesophragma  mesophragmal pockets,),character abscent,HAO:0000558-(mesophragma)
CHAR:156,Mesophragma  median longitudinal carina,HAO:0000558-(mesophragma); HAO:0000188-(carina),original is subset,HAO:0000188-(carina); HAO:0000558-(mesophragma); HAO:0000519-(medial vein)
CHAR:157,Mesophragma  mesolaterophragmal lobes,HAO:0001353-(mesopostnotal apodeme),original is finer,HAO:0000492-(laterophragma); HAO:0000558-(mesophragma); HAO:0001587-(lobe); HAO:0001788-(mesolaterophragma)
CHAR:158,Mesophragma  number of mesolaterophragmal lobes,HAO:0001353-(mesopostnotal apodeme),original is finer,HAO:0000492-(laterophragma); HAO:0000558-(mesophragma); HAO:0001587-(lobe); HAO:0001788-(mesolaterophragma)
CHAR:159,Mesophragma  mesolaterophragmal apodeme shape,HAO:0001353-(mesopostnotal apodeme),original is subset,HAO:0000492-(laterophragma); HAO:0000558-(mesophragma); HAO:0001353-(mesopostnotal apodeme)
CHAR:160,Mesophragma  mesopostnotum,HAO:0000558-(mesophragma); HAO:0000603-(metanotum),partial,HAO:0000558-(mesophragma); HAO:0000567-(mesopostnotum); HAO:0000650-(notum); HAO:0000786-(postnotum); HAO:0001006-(tergum)
